,ic_id,ic_step,ic_maker,ic_category,ic_type1,ic_type2,ic_data,ic_time
248,25111,step4,samsung,GalaxyS10 Plus,세라믹 블랙,all,2,20210405114318
249,28174,step4,apple,iphoneSE,실버,128,2,20210405114318
250,28175,step4,apple,iphone6s,골드,16,4,20210405114318
251,27397,step3,apple,iphone4s,16,,2,20210405114318
252,25333,step4,samsung,Galaxy A8 Star,화이트,all,8,20210405114318
253,28244,step4,samsung,GalaxyGrand Max,화이트,16,3,20210405114318
254,23171,step2,samsung,Galaxy A51,Galaxy A51,,132,20210405114318
255,28276,step4,samsung,Galaxy S20 FE,클라우드 민트,128,2,20210405114318
256,27226,step4,apple,iphone6,골드,16,6,20210405114318
257,27624,step4,apple,iphone12 Pro,실버,256,28,20210405114318
258,27625,step4,apple,iphone12 Pro,골드,256,49,20210405114318
259,24941,step4,apple,iphone11,그린,all,23,20210405114318
260,24835,step4,apple,iphone8 Plus,스페이스 그레이,256,5,20210405114318
261,25110,step4,samsung,GalaxyS10 Plus,세라믹 블랙,512,2,20210405114318
262,27670,step4,samsung,Galaxy J2 Pro,골드,16,3,20210405114318
263,27449,step2,lg,G Flex2,G Flex2,,2,20210405114318
264,27401,step4,samsung,GalaxyNote5,화이트,all,5,20210405114318
265,27486,step3,samsung,Galaxy A7 2016,16,,7,20210405114318
266,28231,step4,lg,G7 ThinQ,뉴 오로라 블랙,all,2,20210405114318
267,26504,step2,lg,X401,X401,,3,20210405114318
268,28410,step3,lg,Nexus 5x,16,,2,20210405114318
269,28544,step4,lg,VELVET,일루전 선셋,128,1,20210405114318
270,28261,step4,samsung,GalaxyWide,화이트,16,4,20210405114318
271,21546,step4,samsung,GalaxyNote8,오키드 그레이,all,56,20210405114318
272,27621,step4,apple,iphone12 Pro,퍼시픽블루,128,50,20210405114318
273,27446,step4,lg,F70,블랙,all,9,20210405114318
274,25924,step3,samsung,GalaxyS3 3G,32,,5,20210405114318
275,28392,step2,samsung,GalaxyGolden,GalaxyGolden,,2,20210405114318
276,19958,step4,samsung,Galaxy A7 2018,골드,all,8,20210405114318
277,27694,step4,apple,iphone4s,화이트,16,1,20210405114318
278,27170,step4,apple,iphone11 Pro,실버,512,4,20210405114318
279,28081,step4,samsung,Galaxy S21,팬텀 바이올렛,all,25,20210405114318
280,19955,step4,samsung,Galaxy A7 2018,골드,64,7,20210405114318
281,27654,step3,apple,iphone12 Mini,128,,202,20210405114318
282,19952,step3,samsung,Galaxy A7 2018,64,,37,20210405114318
283,19951,step2,samsung,Galaxy A7 2018,Galaxy A7 2018,,51,20210405114318
284,27254,step4,samsung,GalaxyFolder2,블랙,32,15,20210405114318
285,27652,step4,apple,iphone12 Pro Max,퍼시픽블루,all,57,20210405114318
286,27623,step4,apple,iphone12 Pro,그래파이트,256,40,20210405114318
287,28409,step4,samsung,GalaxyW,화이트,all,2,20210405114318
288,27651,step4,apple,iphone12 Pro Max,골드,all,45,20210405114318
289,25711,step4,samsung,GalaxyNote7,블루,all,3,20210405114318
290,25235,step4,samsung,GalaxyNote7,골드,64,4,20210405114318
291,24826,step4,samsung,GalaxyNote10,아우라 핑크,all,6,20210405114318
292,28414,step2,samsung,GalaxyM style,GalaxyM style,,1,20210405114318
293,27622,step3,apple,iphone12 Pro,256,,235,20210405114318
294,27511,step4,samsung,GalaxyS8,코랄 블루,64,4,20210405114318
295,26690,step4,samsung,GalaxyS10 Plus,플라밍고 핑크,128,4,20210405114318
296,26691,step4,samsung,GalaxyS10 Plus,플라밍고 핑크,all,4,20210405114318
297,19938,step3,samsung,Galaxy A8 2018,32,,25,20210405114318
298,19937,step2,samsung,Galaxy A8 2018,Galaxy A8 2018,,38,20210405114318
299,26369,step4,apple,iphoneXr,블루,128,6,20210405114318
300,26370,step4,apple,iphoneXr,코럴,128,6,20210405114318
301,24159,step4,samsung,GalaxyS9,폴라리스 블루,all,25,20210405114318
302,28080,step4,samsung,Galaxy S21,팬텀 그레이,256,20,20210405114318
303,26977,step4,samsung,GalaxyNote8,딥씨 블루,64,3,20210405114318
304,19930,step3,samsung,Galaxy A8 Star,64,,18,20210405114318
305,19929,step2,samsung,Galaxy A8 Star,Galaxy A8 Star,,30,20210405114318
306,19928,step4,samsung,Galaxy A9 Pro,블루,all,11,20210405114318
