,psc_id,pl_ori_color,pl_color_name,pl_search_name
146,148,0,미러 퍼플,미러퍼플|미러 퍼플
147,149,0,미러 골드,미러골드|미러 골드
148,150,0,코스믹 블랙,코스믹블랙|코스믹 블랙|코스믹블렉|코스믹 블렉
149,151,0,코스믹 그레이,코스믹 그레이|코스믹그레이|코스믹 그래이|코스믹그래이
150,152,0,클라우드 블루,클라우드 블루|클라우드블루
151,153,0,클라우드 화이트,클라우드 화이트|클라우드화이트
152,154,0,클라우드 핑크,클라우드 핑크|클라우드핑크
153,155,0,오로라 화이트,오로라 화이트|오로라화이트
154,156,0,오로라 그레이,오로라 그레이|오로라그레이|오로라 그래이|오로라그래이
155,157,0,오로라 그린,오로라 그린|오로라그린
156,158,0,일루전 선셋,일루전 선셋|일루전선셋
157,160,0,문라이트 티탄,문라이트티탄|문라이트 티탄
158,159,0,프로즌 화이트,프로즌 화이트|프로즌화이트
159,161,0,뉴 플레티넘 그레이,뉴 플레티넘 그레이|뉴플레티넘그레이|뉴플레티넘 그레이|뉴 플레티넘그레이
160,162,0,프리즘 큐브 블랙,프리즘 큐브 블랙|프리즘큐브블랙|프리즘 큐브블랙|프리즘큐브 블랙
161,163,0,프리즘 큐브 실버,프리즘 큐브 실버|프리즘큐브실버|프리즘 큐브실버|프리즘큐브 실버
162,164,0,프리즘 큐브 블루,프리즘 큐브 블루|프리즘큐브블루|프리즘 큐브블루|프리즘큐브 블루
163,165,0,프리즘 큐브 화이트,프리즘 큐브 화이트|프리즘큐브화이트|프리즘 큐브화이트|프리즘큐브 화이트
164,166,0,프리즘 큐브 핑크,프리즘 큐브 핑크|프리즘큐브핑크|프리즘 큐브핑크|프리즘큐브 핑크
165,167,0,프리즘 크러시 블랙,프리즘 크러시 블랙|프리즘크러시블랙|프리즘 크러시블랙|프리즘크러시 블랙
166,168,0,프리즘 크러시 화이트,프리즘 크러시 화이트|프리즘크러시화이트|프리즘 크러시화이트|프리즘크러시 화이트
167,169,0,프리즘 크러시 블루,프리즘 크러시 블루|프리즘크러시블루|프리즘 크러시블루|프리즘크러시 블루
168,170,0,미스틱 블랙,미스틱 블랙|미스틱블랙|미스틱 블렉|미스틱블렉
169,171,0,미스틱 브론즈,미스틱브론즈|미스틱 브론즈
170,172,0,미스틱 그레이,미스틱그레이|미스틱 그레이|미스틱그래이|미스틱 그래이
171,173,0,미스틱 그린,미스틱 그린|미스틱그린
172,174,0,클라우드 레드,클라우드 레드|클라우드레드|클라우드 래드|클라우드래드
173,175,0,클라우드 라벤더,클라우드 라벤더|클라우드라벤더|클라우드 라밴더|클라우드라밴더
174,176,0,클라우드 네이비,클라우드 네이비|클라우드네이비|클라우드 내이비|클라우드내이비
175,177,0,클라우드 민트,클라우드 민트|클라우드 민트
176,178,0,바이올렛,바이올렛|바이올랫
177,179,0,그래파이트,그래파이트|그레파이트|그래 파이트|그레 파이트
178,180,0,브론즈,브론즈
179,185,0,팬텀 바이올렛,팬텀 바이올렛|팬텀바이올렛|팬텀 바이올랫|팬텀바이올랫|펜텀 바이올렛|펜텀바이올렛|펜텀 바이올랫|펜텀바이올랫
180,186,0,미러 레드,미러 레드|미러레드|미러 래드|미러래드
181,187,0,실키 화이트,실키 화이트|실키화이트
182,188,0,팬텀 그레이,팬텀 그레이|팬텀그레이|팬텀 그래이|팬텀그래이|펜텀 그레이|펜텀그레이|펜텀 그래이|펜텀그래이
183,189,0,팬텀 실버,팬텀 실버|팬텀실버|펜텀 실버|펜텀실버
184,190,0,일루전 스카이,일루전 스카이|일루전스카이
185,191,0,미러 티탄,미러 티탄|미러티탄
186,192,0,골드 샌드,골드 샌드|골드샌드|골드 센드|골드센드
187,193,0,메탈릭 실버,메탈릭실버|메탈릭 실버|매탈릭실버|매탈릭 실버
188,194,0,팬텀 핑크,팬텀핑크
189,195,0,퍼시픽블루,퍼시픽블루
190,196,0,팬텀 화이트,팬텀 화이트|팬텀화이트
