,code,storage,retail_price
"
170,SHW-M130,8,SKT:0|KT:0|LG:0
171,SM-T255,16,SKT:319000|KT:0|LG:0
172,SM-G600,16,SKT:297000|KT:0|LG:0
173,SM-J737,32,SKT:297000|KT:0|LG:0
174,SHV-E500,8,SKT:297000|KT:0|LG:297000
175,SM-C115,8,SKT:0|KT:0|LG:297000
176,SM-C115,16,SKT:0|KT:0|LG:297000
177,LG-F310,32,SKT:0|KT:0|LG:352000
178,LG-F430,8,SKT:0|KT:0|LG:99000
179,A2221,64,"SKT:859100|KT:990000|LG:990000
"
180,A2221,128,"SKT:925100|KT:1056000|LG:1056000
"
181,A2221,256,"SKT:1057100|KT:1188000|LG:1188000
"
182,A2215,64,"SKT:1174800|KT:1375000|LG:1375000
"
183,A2215,256,"SKT:1584000|KT:1584000|LG:1584000
"
184,A2215,512,"SKT:1837000|KT:1837000|LG:1837000
"
185,A2218,64,"SKT:1328800|KT:1529000|LG:1529000
"
186,A2218,256,"SKT:1738000|KT:1738000|LG:1738000
"
187,A2218,512,"SKT:1790800|KT:1991000|LG:1991000
"
188,A2403,64,"SKT:1078000|KT:1078000|LG:1078000
"
189,A2403,128,"SKT:1155000|KT:1155000|LG:1155000
"
190,A2403,256,"SKT:1287000|KT:1287000|LG:1287000
"
191,A2399,64,"SKT:946000|KT:946000|LG:946000
"
192,A2399,128,"SKT:1012000|KT:1012000|LG:1012000
"
193,A2399,256,"SKT:1155000|KT:1155000|LG:1155000
"
194,A2407,128,"SKT:1342000|KT:1342000|LG:1342000
"
195,A2407,256,"SKT:1474000|KT:1474000|LG:1474000
"
196,A2407,512,"SKT:1738000|KT:1738000|LG:1738000
"
197,A2411,128,"SKT:1326600|KT:1474000|LG:1474000
"
198,A2411,256,"SKT:1453100|KT:1606000|LG:1606000
"
199,A2411,512,"SKT:1661000|KT:1870000|LG:1870000
