,ppl_id,ppl_maker,ppl_group,ppl_model_code,ppl_name,ppl_model_name,ppl_storage,ppl_class,ppl_hidden,ppl_average,ppl_average_date,ppl_average_old,ppl_average_old_date
137,138,apple,apple,A1723,아이폰SE,iphoneSE,64,A,0,243214,2021-05-11 17:42:10,239117,2021-05-11 06:37:12
138,139,apple,apple,A1723,아이폰SE,iphoneSE,64,B,0,181812,2021-05-11 17:42:10,186357,2021-05-11 06:37:12
139,140,apple,apple,A1723,아이폰SE,iphoneSE,64,N,2,152918,2021-05-10 16:12:18,152108,2021-05-10 12:40:03
140,141,apple,apple,A1723,아이폰SE,iphoneSE,128,S,2,290000,2021-05-10 16:12:18,296666,2021-05-10 12:40:03
141,142,apple,apple,A1723,아이폰SE,iphoneSE,128,A,1,180000,2021-05-11 17:42:10,180000,2021-05-11 06:37:12
142,143,apple,apple,A1723,아이폰SE,iphoneSE,128,B,1,0,2021-05-10 16:12:18,0,2021-05-10 12:40:03
143,144,apple,apple,A1723,아이폰SE,iphoneSE,128,N,2,286190,2021-05-10 16:12:19,285263,2021-05-10 12:40:03
144,145,apple,apple,A1688,아이폰6s,iphone6s,16,S,2,145000,2021-05-11 17:42:10,145000,2021-05-11 06:37:12
145,146,apple,apple,A1688,아이폰6s,iphone6s,16,A,0,135000,2021-05-11 17:42:10,135000,2021-05-11 06:37:12
146,147,apple,apple,A1688,아이폰6s,iphone6s,16,B,0,125000,2021-05-11 17:42:10,125000,2021-05-11 06:37:12
147,148,apple,apple,A1688,아이폰6s,iphone6s,16,N,2,92000,2021-05-10 16:12:19,92000,2021-05-10 12:40:04
148,149,apple,apple,A1688,아이폰6s,iphone6s,32,S,0,154615,2021-05-11 17:42:10,154615,2021-05-11 06:37:12
149,150,apple,apple,A1688,아이폰6s,iphone6s,32,A,0,138928,2021-05-11 17:42:10,138928,2021-05-11 06:37:12
150,151,apple,apple,A1688,아이폰6s,iphone6s,32,B,0,128214,2021-05-11 17:42:10,127000,2021-05-11 06:37:12
151,152,apple,apple,A1688,아이폰6s,iphone6s,32,N,2,74370,2021-05-10 16:12:20,75541,2021-05-10 12:40:05
152,153,apple,apple,A1688,아이폰6s,iphone6s,64,S,0,167500,2021-05-11 17:42:10,167500,2021-05-11 06:37:12
153,154,apple,apple,A1688,아이폰6s,iphone6s,64,A,0,152500,2021-05-11 17:42:10,152500,2021-05-11 06:37:12
154,155,apple,apple,A1688,아이폰6s,iphone6s,64,B,0,139166,2021-05-11 17:42:10,138571,2021-05-11 06:37:12
155,156,apple,apple,A1688,아이폰6s,iphone6s,64,N,2,81000,2021-05-10 16:12:20,78415,2021-05-10 12:40:05
156,157,apple,apple,A1688,아이폰6s,iphone6s,128,S,0,152500,2021-05-10 16:12:21,157000,2021-05-10 12:40:05
157,158,apple,apple,A1688,아이폰6s,iphone6s,128,A,0,140875,2021-05-10 16:12:21,140875,2021-05-10 12:40:05
158,159,apple,apple,A1688,아이폰6s,iphone6s,128,B,1,150000,2021-05-11 17:42:10,150000,2021-05-11 06:37:12
159,160,apple,apple,A1688,아이폰6s,iphone6s,128,N,2,94687,2021-05-10 16:12:21,94687,2021-05-10 12:40:06
160,161,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,16,S,0,250000,2021-05-11 17:42:10,250000,2021-05-11 06:37:12
161,162,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,16,A,0,220000,2021-05-11 17:42:10,220000,2021-05-11 06:37:12
162,163,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,16,B,0,200000,2021-05-11 17:42:10,200000,2021-05-11 06:37:12
163,164,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,16,N,2,66666,2021-05-10 16:12:22,66666,2021-05-10 12:40:06
164,165,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,32,S,0,110000,2021-05-10 16:12:22,110000,2021-05-10 12:40:06
165,166,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,32,A,1,0,2021-05-10 16:12:22,0,2021-05-10 12:40:07
166,167,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,32,B,1,0,2021-05-10 16:12:22,0,2021-05-10 12:40:07
167,168,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,32,N,2,0,2021-05-10 16:12:22,0,2021-05-10 12:40:07
168,169,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,64,S,0,252500,2021-05-11 17:42:10,252500,2021-05-11 06:37:12
169,170,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,64,A,0,227500,2021-05-11 17:42:10,227500,2021-05-11 06:37:12
170,171,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,64,B,0,216666,2021-05-11 17:42:10,215000,2021-05-11 06:37:12
171,172,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,64,N,2,103333,2021-05-10 16:12:23,120000,2021-05-10 12:40:07
172,173,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,128,S,1,0,2021-05-10 16:12:23,0,2021-05-10 12:40:08
173,174,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,128,A,1,0,2021-05-10 16:12:23,0,2021-05-10 12:40:08
174,175,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,128,B,1,0,2021-05-10 16:12:23,0,2021-05-10 12:40:08
175,176,apple,apple,A1687,아이폰6s Plus,iphone6s Plus,128,N,2,115000,2021-05-10 16:12:23,115000,2021-05-10 12:40:08
176,177,apple,apple,A1586,아이폰6,iphone6,16,S,0,135000,2021-05-11 17:42:10,135000,2021-05-11 06:37:12
177,178,apple,apple,A1586,아이폰6,iphone6,16,A,0,120000,2021-05-11 17:42:10,120000,2021-05-11 06:37:12
178,179,apple,apple,A1586,아이폰6,iphone6,16,B,0,110000,2021-05-11 17:42:10,110000,2021-05-11 06:37:12
179,180,apple,apple,A1586,아이폰6,iphone6,16,N,2,66760,2021-05-10 16:12:24,65863,2021-05-10 12:40:09
180,181,apple,apple,A1586,아이폰6,iphone6,64,S,0,155000,2021-05-11 17:42:10,155000,2021-05-11 06:37:12
181,182,apple,apple,A1586,아이폰6,iphone6,64,A,0,140000,2021-05-11 17:42:10,140000,2021-05-11 06:37:12
182,183,apple,apple,A1586,아이폰6,iphone6,64,B,0,130000,2021-05-11 17:42:10,130000,2021-05-11 06:37:12
183,184,apple,apple,A1586,아이폰6,iphone6,64,N,2,71761,2021-05-10 16:12:25,72200,2021-05-10 12:40:09
184,185,apple,apple,A1586,아이폰6,iphone6,128,S,1,0,2021-05-10 16:12:25,0,2021-05-10 12:40:09
185,186,apple,apple,A1586,아이폰6,iphone6,128,A,1,0,2021-05-10 16:12:25,0,2021-05-10 12:40:09
186,187,apple,apple,A1586,아이폰6,iphone6,128,B,1,0,2021-05-10 16:12:25,0,2021-05-10 12:40:10
187,188,apple,apple,A1586,아이폰6,iphone6,128,N,2,83333,2021-05-10 16:12:25,83333,2021-05-10 12:40:10
188,189,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,16,S,0,200000,2021-05-11 17:42:10,200000,2021-05-11 06:37:12
189,190,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,16,A,0,180000,2021-05-11 17:42:10,180000,2021-05-11 06:37:12
190,191,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,16,B,0,160000,2021-05-11 17:42:10,160000,2021-05-11 06:37:12
191,192,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,16,N,2,0,2021-05-10 16:12:26,0,2021-05-10 12:40:10
192,193,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,64,S,0,220000,2021-05-11 17:42:10,220000,2021-05-11 06:37:12
193,194,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,64,A,0,184000,2021-05-11 17:42:10,184000,2021-05-11 06:37:12
194,195,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,64,B,0,180000,2021-05-11 17:42:10,180000,2021-05-11 06:37:12
195,196,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,64,N,2,119545,2021-05-10 16:12:26,119545,2021-05-10 12:40:11
196,197,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,128,S,1,0,2021-05-10 16:12:27,0,2021-05-10 12:40:11
197,198,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,128,A,1,0,2021-05-10 16:12:27,0,2021-05-10 12:40:11
198,199,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,128,B,1,0,2021-05-10 16:12:27,0,2021-05-10 12:40:11
199,200,apple,apple,A1524,아이폰6 Plus,iphone6 Plus,128,N,2,0,2021-05-10 16:12:27,0,2021-05-10 12:40:11
200,201,apple,apple,A1530,아이폰5s,iphone5s,16,S,2,160000,2021-05-11 17:42:10,160000,2021-05-11 06:37:12
201,202,apple,apple,A1530,아이폰5s,iphone5s,16,A,0,131000,2021-05-11 17:42:10,115454,2021-05-11 06:37:12
202,203,apple,apple,A1530,아이폰5s,iphone5s,16,B,0,144117,2021-05-11 17:42:10,153541,2021-05-11 06:37:12
